,Agent,Mass,Total TTE,Mean TTE,Completed Mission,Reward,Time Outside Corridor
0,LSTM Agent,8,861.8096055073167,1.4936041689901502,True,11438.726,0.5
1,LSTM Agent,10,591.1355262709536,1.0070451895586945,True,14101.775,0.5
2,LSTM Agent,12,422.9570765220602,0.7394354484651402,True,15777.427,0.5
3,LSTM Agent,14,418.56772178876685,0.731761751378963,True,15832.295,0.5
4,LSTM Agent,16,552.6691902890291,0.9747252033316209,True,14500.283,0.5
5,LSTM Agent,8,475.87755181474233,0.8467572096347729,True,15243.971,0.5
6,LSTM Agent,10,848.7593578253654,1.478674839417013,True,11549.006,0.5
7,LSTM Agent,12,424.94088565637503,0.744204703426226,True,15770.604,0.5
8,LSTM Agent,14,301.25390904339224,0.5313120088948716,True,16953.229,0.5
9,LSTM Agent,16,296.96640347470924,0.5293518778515316,True,16989.479,0.5
10,LSTM Agent,8,312.4034820869341,0.5539068831328618,True,16845.74,0.5
11,LSTM Agent,10,321.06671961691353,0.5692672333633219,True,16774.707,0.5
12,LSTM Agent,12,338.81636156021693,0.5996749762127733,True,16580.79,0.5
13,LSTM Agent,14,325.8806946889494,0.5747454932785704,True,16730.895,0.5
14,LSTM Agent,16,836.7087648926929,1.4475930188454895,True,11674.693,0.5
15,LSTM Agent,8,793.7175969177115,1.375593755489968,True,12117.369,0.5
16,LSTM Agent,10,498.2305586953674,0.8833875154173181,True,15027.723,0.5
17,LSTM Agent,12,492.5764674105473,0.8733625308697648,True,15075.373,0.5
18,LSTM Agent,14,368.12389266614616,0.652701937351323,True,16310.244,0.5
19,LSTM Agent,16,444.9785831021745,0.7752240123731263,True,15552.629,0.5
20,LSTM Agent,8,714.2164309600248,1.2292881772117468,True,12862.686,0.5
21,LSTM Agent,10,325.9024744207963,0.5768185387978696,True,16717.61,0.5
22,LSTM Agent,12,340.3001573350633,0.6023011634248908,True,16571.266,0.5
23,LSTM Agent,14,458.51091596197205,0.8086612274461588,True,15424.955,0.5
24,LSTM Agent,16,644.2584828216593,1.1165658281137942,True,13630.08,0.5
25,LSTM Agent,8,631.3410043335191,1.1154434705539207,True,13717.742,0.5
26,LSTM Agent,10,365.2615347427619,0.6453384006055864,True,16328.47,0.5
27,LSTM Agent,12,526.1613931735124,0.9198625754781684,True,14769.287,0.5
28,LSTM Agent,14,638.6585827796793,1.1343846941024498,True,13640.723,0.5
29,LSTM Agent,16,672.4415745380132,1.1838760115105866,True,13312.414,0.5
30,LSTM Agent,8,811.6648213943625,1.4066981306661397,True,11917.17,0.5
31,LSTM Agent,10,424.18372605500315,0.7415799406556,True,15774.631,0.5
32,LSTM Agent,12,522.4668251289172,0.9263596190229029,True,14792.618,0.5
33,LSTM Agent,14,513.6130763890567,0.9139022711549052,True,14866.817,0.5
34,LSTM Agent,16,789.6699603178482,1.3878206683969212,True,12159.67,0.5
35,LSTM Agent,8,659.1859025755437,1.126813508676143,True,13444.811,0.5
36,LSTM Agent,10,316.57442662791453,0.5622991591970062,True,16808.578,0.5
37,LSTM Agent,12,604.6913741939436,1.0759632992774797,True,13970.583,0.5
38,LSTM Agent,14,627.8825022355043,1.109333042818912,True,13759.904,0.5
39,LSTM Agent,16,824.2459143382538,1.4485868441797078,True,11789.328,0.5
40,LSTM Agent,8,1349.7743362456242,2.3073065576848277,True,6609.5405,28.0
41,LSTM Agent,10,667.6639612880728,1.1611547152836048,True,13406.22,0.5
42,LSTM Agent,12,298.92752363080524,0.5290752630633722,True,16978.836,0.5
43,LSTM Agent,14,668.7646491916882,1.169168967118336,True,13368.481,0.5
44,LSTM Agent,16,327.88305616070227,0.5803239932047828,True,16694.188,0.5
45,LSTM Agent,8,477.4298604625352,0.8480104093473094,True,15228.305,0.5
46,LSTM Agent,10,834.5719074432153,1.4266186452020775,True,11726.107,0.5
47,LSTM Agent,12,338.5082006118717,0.6001918450565101,True,16589.414,0.5
48,LSTM Agent,14,459.18942530469246,0.808432086804036,True,15400.107,0.5
49,LSTM Agent,16,834.0413213305824,1.4454788931205933,True,11689.053,0.5
50,LSTM Agent,8,610.4807755136062,1.0435568812198397,True,13895.296,2.5
51,LSTM Agent,10,325.45256674355653,0.5760222420239939,True,16715.082,0.5
52,LSTM Agent,12,605.9790350561555,1.0744309132201337,True,13963.708,0.5
53,LSTM Agent,14,312.89611420122833,0.554780344328419,True,16834.066,0.5
54,LSTM Agent,16,437.0976565363765,0.7736241708608433,True,15627.275,0.5
55,LSTM Agent,8,521.1363454109174,0.9110775269421634,True,14811.443,0.5
56,LSTM Agent,10,720.6276042489906,1.275447087166355,True,12837.373,0.5
57,LSTM Agent,12,399.71547763284775,0.7049655690173682,True,16004.379,0.5
58,LSTM Agent,14,821.6562760361016,1.4465779507677845,True,11847.238,0.5
59,LSTM Agent,16,659.2497007162167,1.1668136295862241,True,13430.754,0.5
60,LSTM Agent,8,410.87216612897504,0.7310892635746887,True,15878.043,0.5
61,LSTM Agent,10,572.8421652741133,1.003226208886363,True,14277.918,0.5
62,LSTM Agent,12,309.71085047043175,0.5481607972927995,True,16890.797,0.5
63,LSTM Agent,14,674.6199707780536,1.187711216158545,True,13276.076,0.5
64,LSTM Agent,16,677.9066201890857,1.199834725998382,True,13243.426,0.5
65,LSTM Agent,8,526.17011886995,0.9056284317899311,True,14789.127,0.5
66,LSTM Agent,10,890.8355453613124,1.5359233540712283,True,11134.117,0.5
67,LSTM Agent,12,317.969621998852,0.5657822455495587,True,16790.594,0.5
68,LSTM Agent,14,408.2422708446611,0.7225526917604621,True,15917.586,0.5
69,LSTM Agent,16,791.3752355811733,1.3550945814746118,True,12120.042,3.5
70,LSTM Agent,8,352.03615342945716,0.6176072867183459,True,16465.172,0.5
71,LSTM Agent,10,643.281087308894,1.1345345455183315,True,13586.8545,6.0
72,LSTM Agent,12,578.8085061046804,1.0262562164976603,True,14245.364,0.5
73,LSTM Agent,14,830.0516019287929,1.4311234516013671,True,11753.395,0.5
74,LSTM Agent,16,456.77784455005326,0.8127719653915538,True,15431.299,0.5
75,LSTM Agent,8,860.7643135514179,1.5127668076474832,True,11458.002,0.5
76,LSTM Agent,10,752.7422501179825,1.2978314657206595,True,12517.916,0.5
77,LSTM Agent,12,882.7088157653179,1.5166818140297558,True,11226.065,0.5
78,LSTM Agent,14,444.49116218029076,0.788104897482785,True,15554.292,0.5
79,LSTM Agent,16,403.19847813835406,0.7073657511199194,True,15994.457,0.5
80,LSTM Agent,8,463.3638155167284,0.8230263153050238,True,15387.033,0.5
81,LSTM Agent,10,803.4440488842636,1.3876408443596953,True,12012.052,0.5
82,LSTM Agent,12,754.690504543752,1.3125052252934817,True,12496.163,0.5
83,LSTM Agent,14,316.376860717408,0.5609518807046242,True,16813.326,0.5
84,LSTM Agent,16,345.4082831667016,0.6124260339835135,True,16526.703,0.5
85,LSTM Agent,8,440.4425251439915,0.7686606023455349,True,15623.958,0.5
86,LSTM Agent,10,659.2360848456074,1.128828912406862,True,13435.907,0.5
87,LSTM Agent,12,704.2232169860558,1.21000552746745,True,12991.505,0.5
88,LSTM Agent,14,561.9836667458823,0.9842095739857833,True,14410.218,0.5
89,LSTM Agent,16,499.16304662178663,0.8977752637082493,True,15002.41,0.5
90,LSTM Agent,8,659.004285224345,1.1622650533057233,True,13413.149,0.5
91,LSTM Agent,10,299.52769607508174,0.5301375151771358,True,16968.564,0.5
92,LSTM Agent,12,361.13368525716044,0.6414452668866082,True,16368.177,0.5
93,LSTM Agent,14,530.6993950079957,0.9343299207887248,True,14717.725,0.5
94,LSTM Agent,16,354.5005222080407,0.629663449747852,True,16424.89,0.5
95,LSTM Agent,8,548.5487545041246,0.9657548494790927,True,14529.316,0.5
96,LSTM Agent,10,797.9220195107252,1.3828804497586227,True,12054.34,0.5
97,LSTM Agent,12,325.34940077210376,0.5768606396668506,True,16724.586,0.5
98,LSTM Agent,14,594.7470178578735,1.0526495891289798,True,14078.138,0.5
99,LSTM Agent,16,413.83216623569285,0.7209619620830886,True,15890.182,0.5
100,LSTM Agent,8,56529.388343899736,76.39106532959424,False,-555596.8,209.0
101,LSTM Agent,10,973.9635463516545,1.6648949510284692,True,10326.22,0.5
102,LSTM Agent,12,338.34824415119465,0.5999082343106288,True,16596.873,0.5
103,LSTM Agent,14,424.6864817829635,0.7437591624920551,True,15753.45,0.5
104,LSTM Agent,16,859.8383906367155,1.482479983856406,True,11468.658,0.5
105,LSTM Agent,8,883.9940358496851,1.5347118677945923,True,11215.154,2.5
106,LSTM Agent,10,329.37742437166776,0.5809125650293964,True,16706.09,0.5
107,LSTM Agent,12,810.3247023821015,1.4342030130656662,True,11916.52,0.5
108,LSTM Agent,14,557.8844477083844,0.961869737428249,True,14458.988,0.5
109,LSTM Agent,16,321.03503886095905,0.5702220938915791,True,16763.285,0.5
110,LSTM Agent,8,685.0502671051959,1.2060744139175983,True,13186.853,0.5
111,LSTM Agent,10,447.88914968644974,0.7955402303489338,True,15498.423,0.5
112,LSTM Agent,12,332.5039912077453,0.5885026393057439,True,16650.996,0.5
113,LSTM Agent,14,626.0495644989429,1.1041438527318217,True,13761.087,0.5
114,LSTM Agent,16,594.3108999202477,1.053742730355049,True,14082.8,0.5
115,LSTM Agent,8,700.5475229164199,1.2225960260321465,True,13029.039,0.5
116,LSTM Agent,10,461.4248041195616,0.815238169822547,True,15375.112,0.5
117,LSTM Agent,12,324.1189648636114,0.574679015715623,True,16735.133,0.5
118,LSTM Agent,14,319.23063432605466,0.5640117214241248,True,16777.69,0.5
119,LSTM Agent,16,829.9181475553709,1.4358445459435483,True,11737.088,4.5
120,LSTM Agent,8,696.0579283007011,1.227615393828397,True,13071.661,0.5
121,LSTM Agent,10,360.13224824475503,0.6396665155324246,True,16374.154,0.5
122,LSTM Agent,12,579.8944379520922,1.026361837083349,True,14224.818,0.5
123,LSTM Agent,14,323.2088147193241,0.5730652743250427,True,16750.71,0.5
124,LSTM Agent,16,341.2258958501796,0.6050104536350702,True,16556.486,0.5
